매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대1,시간대2,시간대3,시간대4,시간대5,분기_1,분기_2,분기_3,총 상주인구 수,총 가구 수,총_직장인구_수,시간대_생활인구_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,지하철역_수,평일_생활인구_평균,주말_생활인구_평균,상권내_총_아파트_세대_수,배후지_총_아파트_세대_수,면적당_버스정류장_수,면적당_점포_수,면적당_집객시설_수,직장인구/상주인구
188701.8599,2020,골목상권,2110997,대청초등학교,1,0,0,0,0,1,0,0,7401,3439,1724,899751,0,2,0,6,236963,7721,0,0,388234.2,378576.5,739,2859.3324822860773,0.5486088545469123,1.0128163468558382,2.1522347370686563,0.23294149439264963
222523.3993,2020,골목상권,2110999,윗방죽마을공원,1,0,0,0,0,1,0,0,3125,2339,268,31529,0,1,0,0,239796,3133,0,0,16159.4,17144.0,17,2859.110954153696,0.16680845385244125,0.2502126807786619,0.16680845385244125,0.08576
0.0,2020,골목상권,2111000,대왕초등학교(세곡동사거리서남측),1,0,0,0,0,1,0,0,458,199,39,3537,0,0,0,0,52892,603,0,0,9192.2,8739.5,0,2859.349750384594,0.18906450881040612,0.5671935264312183,0.9453225440520305,0.0851528384279476
0.0,2020,골목상권,2111002,한국교통안전공단 강남자동차검사소,1,0,0,0,0,1,0,0,317,0,317,0,0,0,0,0,59240,570,0,0,10.8,78.0,0,2860.1657294472543,0.16880486158001348,0.5064145847400405,0.5064145847400405,1.0
175753.2619,2020,골목상권,2110949,한남IC,1,0,0,0,0,0,1,0,618,300,1683,81074,0,0,0,0,62126,0,0,0,59781.2,51582.0,112,2860.1657294472543,0.0,0.965779222869652,0.32192640762321734,2.7233009708737863
112557.9341,2020,골목상권,2110951,신사은행나무공원,1,0,0,0,0,0,1,0,1039,580,273,130109,0,0,0,1,29000,0,0,0,87944.8,70970.0,161,2860.362799721909,0.0,1.0344827586206897,0.6896551724137931,0.2627526467757459
150574.3663,2020,골목상권,2110952,논현목련공원,1,0,0,0,0,0,1,0,879,583,117,72026,0,0,0,0,21629,0,0,0,35001.8,34551.5,257,2861.0822344573207,0.0,1.387026677146424,0.9246844514309492,0.13310580204778158
30195.31502,2020,골목상권,2110954,국기원,1,0,0,0,0,0,1,0,497,335,636,46303,0,0,0,2,39798,0,0,0,65280.6,60065.5,34,2861.3313315978685,0.0,0.7538067239559777,0.7538067239559777,1.2796780684104627
218306.5714,2020,골목상권,2110955,논현초등학교,1,0,0,0,0,0,1,0,7080,4369,3430,709538,0,0,0,2,190912,0,0,0,396475.0,366748.5,1958,2862.2102700949945,0.0,1.5714046262152195,0.5238015420717398,0.4844632768361582
181537.7179,2020,골목상권,2110957,언북중학교,1,0,0,0,0,0,1,0,1816,1116,1251,179300,0,0,0,3,94815,0,0,0,156722.4,100815.5,532,2861.3123984873705,0.0,0.6328112640404999,0.8437483520539999,0.6888766519823789
122343.3333,2020,골목상권,2110958,역삼역 4번,1,0,0,0,0,0,1,0,858,528,994,66614,0,0,0,2,73119,0,0,0,72654.2,42943.5,290,2861.9647568374276,0.0,0.4102900750830838,1.2308702252492512,1.1585081585081585
42585.68132,2020,골목상권,2110959,신구중학교,1,0,0,0,0,0,1,0,365,166,271,21486,0,0,0,0,35959,0,0,0,19822.6,14757.5,82,2862.4949379106624,0.0,0.8342834895297423,2.2247559720793126,0.7424657534246575
94401.8022,2020,골목상권,2110960,은광여고,1,0,0,0,0,0,1,0,719,417,1522,29259,0,0,0,1,25543,0,0,0,16437.8,14330.5,239,2863.3622827411127,0.0,1.1744900755588614,1.5659867674118155,2.1168289290681503
124104.8114,2020,골목상권,2110961,언주역 3번,1,0,0,0,0,0,1,0,2169,1298,962,139886,1,0,0,1,63031,0,0,0,119568.4,88421.5,612,2863.7197847330917,0.0,0.9519125509669845,0.47595627548349223,0.44352236053480865
49563.4359,2020,골목상권,2110963,역삼월드메르디앙아파트,1,0,0,0,0,0,1,0,1724,847,780,127310,0,0,0,1,40391,0,0,0,62226.4,55935.0,543,2863.6097138396026,0.0,0.7427397192443861,0.24757990641479538,0.45243619489559167
128602.7967,2020,골목상권,2110965,언주역 6번,1,0,0,0,0,0,1,0,2309,1512,1139,169546,0,0,0,2,65107,0,0,0,127942.4,98625.5,694,2863.3758986433677,0.0,0.9215598937134256,0.30718663123780854,0.49328713728886964
94191.66758,2020,골목상권,2110966,논현2동주민센터,1,0,0,0,0,0,1,0,2887,1539,1637,293277,0,0,0,2,93544,0,0,0,268883.2,189737.0,843,2863.3435687385954,0.0,0.4276062601556487,0.9621140853502095,0.5670245930031175
240980.7521,2020,골목상권,2110967,역삼역 8번,1,0,0,0,0,0,1,0,1307,877,377,130901,0,0,0,3,68671,0,0,0,99930.2,71507.5,379,2863.491983386134,0.0,1.310596904078869,1.019353147616898,0.2884468247895945
371924.0525,2020,골목상권,2110971,선정릉역 4번,1,0,0,0,0,0,1,0,3836,2425,1542,208909,1,1,0,4,133221,0,0,0,129777.4,105131.5,1637,2863.6758617632213,0.0,0.675569167023217,0.5254426854625022,0.40198123044838374
16845.64103,2020,골목상권,2110972,강남세브란스병원미래의학연구센터,1,0,0,0,0,0,1,0,1995,1013,2628,68570,0,0,0,0,46603,0,0,0,33722.4,30993.0,630,2863.014335674826,0.0,0.6437353818423708,0.42915692122824706,1.3172932330827067
111817.1337,2020,골목상권,2110974,언주중학교,1,0,0,0,0,0,1,0,1479,770,292,184523,0,0,0,0,35150,0,0,0,105949.0,95156.5,535,2862.751950974982,0.0,1.7069701280227596,0.5689900426742532,0.19743069641649763
119627.3718,2020,골목상권,2110975,매봉역 1번,1,0,0,0,0,0,1,0,944,361,10837,56061,0,0,0,0,52363,9023,7155,1,40955.8,39348.0,250,2862.4898734868416,0.5729236292802169,1.1458472585604338,2.100719974027462,11.479872881355933
47249.66484,2020,골목상권,2110976,언북초등학교,1,0,0,0,0,0,1,0,2011,1046,578,180128,0,0,0,0,55724,0,0,0,118187.8,105511.0,476,2862.8461791401055,0.0,1.076735338453808,0.3589117794846027,0.2874191944306315
53973.4359,2020,골목상권,2110977,논현로18길,1,0,0,0,0,0,1,0,707,335,148,33211,0,0,0,0,17287,0,0,0,20432.0,17445.0,108,2862.8527789648206,0.0,5.206224330421704,0.0,0.20933521923620935
57026.40659,2020,골목상권,2110980,개포지구대옆,1,0,0,0,0,0,1,0,2707,1114,663,140237,0,0,0,0,85827,0,0,0,77960.2,67762.5,679,2863.2492191059973,0.0,0.3495403544339194,0.23302690295594627,0.2449205762837089
125653.4799,2020,골목상권,2110981,국악고교사거리,1,0,0,0,0,0,1,0,2105,876,361,143475,0,0,0,0,67409,569,0,0,76077.0,72953.5,543,2863.4946373563535,0.5933925736919403,1.3351332908068656,1.0384370039608954,0.17149643705463183
163445.8242,2020,골목상권,2110983,국립국악고등학교,1,0,0,0,0,0,1,0,2836,1257,783,125206,1,0,0,0,56041,0,0,0,61956.4,58735.5,602,2863.411128250713,0.0,0.535322353277065,0.7137631377027533,0.27609308885754585
62985.95513,2020,골목상권,2110984,포이초등학교(개포목련어린이공원),1,0,0,0,0,0,1,0,4522,1948,1556,322638,0,0,0,1,137097,204,0,0,135608.4,131667.5,1079,2863.6641108114163,0.07294105633237781,0.8752926759885337,1.0211747886532894,0.3440955329500221
178933.9414,2020,골목상권,2110985,청담근린공원,1,0,0,0,0,0,1,0,980,472,1338,73633,0,0,0,0,43265,0,0,0,47333.2,41525.0,239,2863.7260283919295,0.0,0.6934011325551832,0.23113371085172774,1.3653061224489795
68559.49084,2020,골목상권,2110988,청담역 3번,1,0,0,0,0,0,1,0,1340,480,1594,35463,0,0,0,0,79185,0,26324,1,27747.0,26977.0,345,2864.02370687106,0.0,0.37885963250615645,0.6314327208435941,1.18955223880597
97075.72039,2020,골목상권,2110989,대치동아우편취급국,1,0,0,0,0,0,1,0,1575,908,444,127669,2,0,0,3,40587,0,0,0,88693.0,71351.0,671,2864.406890422443,0.0,2.2174587922241114,1.7246901717298642,0.2819047619047619
90904.48779,2020,골목상권,2110992,도곡초등학교,1,0,0,0,0,0,1,0,8040,3724,2179,484082,2,0,0,1,138866,0,0,0,251094.8,279559.0,1927,2863.776905787051,0.0,1.2962136160039175,0.5760949404461855,0.27101990049751246
37018.18681,2020,골목상권,2110994,개포고등학교,1,0,0,0,0,0,1,0,1706,744,494,194130,1,0,0,4,61589,0,0,0,88556.2,86335.0,321,2862.3086745941255,0.0,0.9741999383006705,2.7602331585185667,0.2895662368112544
43051.22344,2020,골목상권,2110995,봉은사역 4번,1,0,0,0,0,0,1,0,2888,1115,5085,156621,0,0,0,0,122756,1,0,0,85648.2,86189.5,893,2862.5441217722155,0.0814624132425299,0.2443872397275897,0.5702368926977093,1.7607340720221607
49571.69963,2020,골목상권,2110996,대치2동주민센터,1,0,0,0,0,0,1,0,1545,729,1959,161196,1,0,0,0,112840,0,0,0,106971.2,102566.0,727,2862.1932446884057,0.08862105636299185,0.26586316908897556,0.3544842254519674,1.2679611650485436
198618.1424,2020,골목상권,2110997,대청초등학교,1,0,0,0,0,0,1,0,7401,3439,1724,888592,0,2,0,6,236963,8370,0,0,387679.2,372152.5,739,2861.3561739864854,0.5486088545469123,0.9706156657368451,2.1522347370686563,0.23294149439264963
222434.5733,2020,골목상권,2110999,윗방죽마을공원,1,0,0,0,0,0,1,0,3125,2339,268,22007,0,1,0,0,239796,2608,0,0,12023.4,13420.0,17,2861.1355809727347,0.16680845385244125,0.2502126807786619,0.16680845385244125,0.08576
0.0,2020,골목상권,2111000,대왕초등학교(세곡동사거리서남측),1,0,0,0,0,0,1,0,458,199,39,3589,0,0,0,0,52892,637,0,0,9000.4,8607.0,0,2861.3751209898,0.18906450881040612,0.5671935264312183,0.9453225440520305,0.0851528384279476
0.0,2020,골목상권,2111002,한국교통안전공단 강남자동차검사소,1,0,0,0,0,0,1,0,317,0,317,0,0,0,0,0,59240,505,0,0,30.0,102.0,0,2862.191603755726,0.16880486158001348,0.5064145847400405,0.5064145847400405,1.0
