매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총 상주인구 수,총 가구 수,총_직장인구_수,시간대_생활인구_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,지하철역_수,평일_생활인구_평균,주말_생활인구_평균,상권내_총_아파트_세대_수,배후지_총_아파트_세대_수,면적당_버스정류장_수,면적당_점포_수,면적당_집객시설_수,직장인구/상주인구,시간대_디코딩,분기_디코딩
31144.86594,2020,골목상권,2110954,국기원,497,335,636,49829,0,0,0,2,39798,0,0,0,68773.2,63416.0,34,2863.3592517380325,0.0,0.7538067239559777,0.7538067239559777,1.2796780684104627,1,3
266085.7444,2020,골목상권,2110955,논현초등학교,7080,4369,3430,718388,0,0,0,2,190912,0,0,0,412457.8,380383.0,1958,2864.2386685788897,0.0,1.5190244720080457,0.5238015420717398,0.4844632768361582,1,3
206127.1594,2020,골목상권,2110957,언북중학교,1816,1116,1251,174285,0,0,0,3,94815,0,0,0,149910.0,98264.5,532,2863.34201523525,0.0,0.6328112640404999,0.8437483520539999,0.6888766519823789,1,3
150332.5688,2020,골목상권,2110958,역삼역 4번,858,528,994,66041,0,0,0,2,73119,0,0,0,68305.8,41353.5,290,2863.994946965157,0.0,0.4102900750830838,1.2308702252492512,1.1585081585081585,1,3
34016.88768,2020,골목상권,2110959,신구중학교,365,166,271,18745,0,0,0,0,35959,0,0,0,18927.0,14121.5,82,2864.5257525217617,0.0,0.8342834895297423,2.2247559720793126,0.7424657534246575,1,3
108198.6558,2020,골목상권,2110960,은광여고,719,417,1522,28094,0,0,0,1,25543,0,0,0,15853.8,13967.5,239,2865.3935817276406,0.0,1.1744900755588614,1.5659867674118155,2.1168289290681503,1,3
117854.308,2020,골목상권,2110961,언주역 3번,2169,1298,962,155417,1,0,0,1,63031,0,0,0,128248.2,97907.0,612,2865.751780554339,0.0,0.9519125509669843,0.4759562754834922,0.4435223605348086,1,3
72230.90217,2020,골목상권,2110963,역삼월드메르디앙아파트,1724,847,780,125411,0,0,0,1,40391,0,0,0,62460.8,56080.0,543,2865.6426014454937,0.0,0.7427397192443861,0.2475799064147953,0.4524361948955916,1,3
154421.9384,2020,골목상권,2110965,언주역 6번,2309,1512,1139,170160,0,0,0,2,65107,0,0,0,127219.6,99961.0,694,2865.409729922365,0.0,0.9215598937134256,0.3071866312378085,0.4932871372888696,1,3
87916.22554,2020,골목상권,2110966,논현2동주민센터,2887,1539,1637,284661,0,0,0,2,93544,0,0,0,267166.2,188422.0,843,2865.378260201267,0.0,0.4276062601556487,0.9621140853502096,0.5670245930031175,1,3
266156.4263,2020,골목상권,2110967,역삼역 8번,1307,877,377,128353,0,0,0,3,68671,0,0,0,98576.0,72275.5,379,2865.527460143066,0.0,1.310596904078869,1.019353147616898,0.2884468247895945,1,3
441468.4524,2020,골목상권,2110971,선정릉역 4번,3836,2425,1542,222244,1,1,0,4,133221,0,0,0,134334.8,111264.0,1637,2865.712109377097,0.0,0.6005059262428596,0.5254426854625022,0.4019812304483837,1,3
13316.31884,2020,골목상권,2110972,강남세브란스병원미래의학연구센터,1995,1013,2628,67016,0,0,0,0,46603,0,0,0,33369.8,30480.5,630,2865.051706425131,0.0,0.6437353818423708,0.429156921228247,1.3172932330827067,1,3
114360.4692,2020,골목상권,2110974,언주중학교,1479,770,292,185718,0,0,0,0,35150,0,0,0,109115.6,98755.0,535,2864.790279158863,0.0,1.7069701280227596,0.5689900426742532,0.1974306964164976,1,3
93593.99457,2020,골목상권,2110975,매봉역 1번,944,361,10837,56042,0,0,0,0,52363,8311,7555,1,41217.2,39490.5,250,2864.529159375,0.5729236292802169,1.1458472585604338,2.100719974027462,11.479872881355933,1,3
36389.84239,2020,골목상권,2110976,언북초등학교,2011,1046,578,174889,0,0,0,0,55724,0,0,0,126370.6,108895.0,476,2864.8861656861463,0.0,1.076735338453808,0.3589117794846027,0.2874191944306315,1,3
51427.33816,2020,골목상권,2110977,논현로18길,707,335,148,32014,0,0,0,0,17287,0,0,0,20058.6,17201.0,108,2864.8936120498797,0.0,5.206224330421704,0.0,0.2093352192362093,1,3
